City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Ambon,ID,79.23,light rain,-3.7,128.18,Swiss-Belhotel Ambon
5,Asfi,MA,71.69,clear sky,32.3,-9.24,Hôtel Abda
7,Ravar,IR,82.29,clear sky,31.27,56.81,computertik
9,Molepolole,BW,63.82,clear sky,-24.41,25.5,Butterfly Tree Guesthouse
10,Saint George,US,74.62,few clouds,37.1,-113.58,Best Western Plus Abbey Inn
11,Pulo,PH,80.24,scattered clouds,15.25,120.93,HK Rest House
15,Ponta Do Sol,PT,79.0,scattered clouds,32.67,-17.1,Hotel do Campo
16,Porbandar,IN,80.89,moderate rain,21.64,69.61,Lords Inn Porbandar
21,Vaini,TO,73.56,light intensity shower rain,-21.2,-175.2,Keleti Beach Resort
24,Bethel,US,78.89,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
25,Nichinan,JP,78.87,scattered clouds,31.6,131.37,Guest House Aki
26,Rikitea,PF,70.84,overcast clouds,-23.12,-134.97,People ThankYou
28,Arraial Do Cabo,BR,73.36,overcast clouds,-22.97,-42.03,Pousada Porto Praia
29,Mahebourg,MU,71.89,few clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
34,Saint-Philippe,RE,71.19,overcast clouds,-21.36,55.77,Le four à pain
35,Saint-Pierre,RE,71.28,clear sky,-21.34,55.48,Alize Plage
37,Lubao,PH,80.31,broken clouds,14.92,120.55,Hacienda Gracia
38,Phangnga,TH,80.64,few clouds,8.45,98.53,Sunimit Mansion
40,Touros,BR,82.15,scattered clouds,-5.2,-35.46,INN NEW HORIZON
44,Puerto Ayora,EC,75.16,overcast clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
45,Pisco,PE,65.01,haze,-13.7,-76.22,Hotel San Isidro Oficial
46,Atuona,PF,76.78,few clouds,-9.8,-139.03,Villa Enata
49,Kavieng,PG,81.7,scattered clouds,-2.57,150.8,Nusa Island Retreat
50,Georgetown,MY,82.33,heavy intensity rain,5.41,100.34,Cititel Penang
52,Tongliao,CN,62.06,overcast clouds,43.61,122.27,Meirujia Hotel
53,Jamestown,US,73.06,broken clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
58,Ukiah,US,70.43,clear sky,39.15,-123.21,Hampton Inn Ukiah
61,Guerrero Negro,MX,78.71,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
64,Altamont,US,61.9,overcast clouds,42.21,-121.74,Microtel Inn & Suites by Wyndham Klamath Falls
65,Bambous Virieux,MU,71.85,few clouds,-20.34,57.76,Casa Tia Villa
69,Chinhoyi,ZW,68.9,few clouds,-17.37,30.2,Msasa Guest House Chinhoyi (Wendy Shaw)
70,Port Alfred,ZA,64.18,clear sky,-33.59,26.89,The Halyards Hotel
74,Katsuura,JP,73.27,overcast clouds,35.13,140.3,Katsuura Hotel Mikazuki
75,Majene,ID,77.41,overcast clouds,-3.54,118.97,Kost Putri RABBANI
76,Cape Town,ZA,63.27,broken clouds,-33.93,18.42,Southern Sun Waterfront Cape Town
77,Yaring,TH,77.88,light rain,6.87,101.37,pharmacy สามินี
78,Bengkulu,ID,74.84,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
79,Anloga,GH,77.67,scattered clouds,5.79,0.9,Pin Drop Hotel
81,Redlands,US,82.53,haze,34.06,-117.18,Dynasty Suites Redlands
82,Chibombo,ZM,71.92,scattered clouds,-14.66,28.07,Chibombo District Council Guest House
83,Kapaa,US,79.12,scattered clouds,22.08,-159.32,Sheraton Kauai Coconut Beach Resort
85,Kismayo,SO,76.19,scattered clouds,-0.36,42.55,Agan-Hotel
86,Hilo,US,80.28,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
88,San Quintin,MX,70.65,overcast clouds,30.48,-115.95,Don Eddie's Sport Fishing Center
89,Hasaki,JP,72.28,overcast clouds,35.73,140.83,Inubosaki Kanko Hotel
90,Kahului,US,79.84,few clouds,20.89,-156.47,Maui Seaside Hotel
92,Hithadhoo,MV,81.95,few clouds,-0.6,73.08,Scoop Guest House
94,Ribeira Grande,PT,77.4,broken clouds,38.52,-28.7,Quinta da Meia Eira
95,Omboue,GA,76.17,scattered clouds,-1.57,9.26,Hotel Olako
102,Cabedelo,BR,81.27,scattered clouds,-6.98,-34.83,Pousada Camboinha
103,Saint Pete Beach,US,84.0,overcast clouds,27.73,-82.74,Island Grand - A TradeWinds Beach Resort
106,Namibe,AO,72.23,clear sky,-15.2,12.15,Hotel Chik Chik Namibe
107,Roebourne,AU,73.29,clear sky,-20.78,117.13,Latitude20 Roebourne Village
110,Batticaloa,LK,79.9,scattered clouds,7.71,81.69,Grand Star Guest House
111,Mayo,US,80.94,few clouds,38.89,-76.51,Resorts Resource Group International
113,Washougal,US,71.22,broken clouds,45.58,-122.35,Camas Boutique Hotel
114,Faanui,PF,77.25,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
121,Shitanjing,CN,61.5,clear sky,39.23,106.34,Yingbin Hotel
124,Kruisfontein,ZA,65.88,clear sky,-34.0,24.73,Oyster Bay House Rental
125,Matara,LK,77.0,scattered clouds,5.95,80.54,Amaloh Boutique Resort
128,Souillac,MU,71.98,few clouds,-20.52,57.52,Bils' Villa
129,Ampanihy,MG,64.6,few clouds,-24.7,44.75,HOTEL SHARRON AMPANIHY OUEST
130,Carnarvon,AU,62.67,scattered clouds,-24.87,113.63,Hospitality Carnarvon
133,Hamilton,US,79.92,broken clouds,39.18,-84.53,Six Acres Bed & Breakfast
137,Praia Da Vitoria,PT,80.85,scattered clouds,38.73,-27.07,Hotel Branco I
138,Ternate,ID,79.14,few clouds,0.8,127.4,Sahid Bela Ternate Hotel
140,Ujhani,IN,77.36,overcast clouds,28.02,79.02,Bhagwati Palace
142,Cidreira,BR,64.47,scattered clouds,-30.18,-50.21,Hotel Castelo
147,Thompson,CA,60.96,few clouds,55.74,-97.86,Burntwood Hotel
149,Constitucion,CL,60.26,scattered clouds,-35.33,-72.42,Hotel Boutique Las Azucenas
151,Lompoc,US,74.57,overcast clouds,34.64,-120.46,"Holiday Inn Express Lompoc, an IHG Hotel"
154,Chuy,UY,60.03,few clouds,-33.7,-53.46,Nuevo Hotel Plaza
157,Sept-Iles,CA,61.32,mist,50.2,-66.38,Comfort Inn
158,Paso De Carrasco,UY,61.25,few clouds,-34.86,-56.05,Hotel Sofitel Montevideo Casino Carrasco and Spa
