City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kalmunai,LK,7.42,81.82,78.31,81,75,9.64,broken clouds
1,Atuona,PF,-9.80,-139.03,76.75,71,36,18.7,scattered clouds
2,Ushuaia,AR,-54.80,-68.30,53.26,35,40,11.5,scattered clouds
3,Shimoda,JP,34.67,138.95,66.11,80,64,12.19,broken clouds
4,Hobart,AU,-42.88,147.33,45.27,88,75,10.36,broken clouds
5,Hudiksvall,SE,61.73,17.10,43.16,89,72,6.08,broken clouds
6,Ilulissat,GL,69.22,-51.10,35.62,87,75,2.3,broken clouds
7,Barrow,US,71.29,-156.79,33.82,86,100,13.8,mist
8,Adrar,MR,20.50,-10.07,91.83,22,6,14.61,clear sky
9,Mazatlan,MX,23.22,-106.42,89.91,76,0,8.01,clear sky
10,Rikitea,PF,-23.12,-134.97,72.66,66,0,9.24,clear sky
11,Saint-Augustin,CA,51.23,-58.65,49.3,87,100,12.26,overcast clouds
12,Cidreira,BR,-30.18,-50.21,60.51,67,99,13.53,overcast clouds
13,Andros Town,BS,24.70,-77.77,84.16,67,100,13.71,light rain
14,Ajdabiya,LY,30.76,20.23,84.76,36,13,7.56,few clouds
15,Aljezur,PT,37.32,-8.80,63.09,81,40,14.83,scattered clouds
16,Cape Town,ZA,-33.93,18.42,61.09,87,0,9.22,clear sky
17,Acarau,BR,-2.89,-40.12,78.21,79,58,16.91,broken clouds
18,Punta Arenas,CL,-53.15,-70.92,51.91,50,20,24.16,few clouds
19,Souillac,MU,-20.52,57.52,68.38,88,40,6.91,scattered clouds
20,Hofn,IS,64.25,-15.21,47.3,96,100,19.66,overcast clouds
21,Isangel,VU,-19.55,169.27,78.91,94,75,6.91,broken clouds
22,Whyalla,AU,-33.03,137.58,54.59,70,83,5.32,broken clouds
23,Araouane,ML,18.90,-3.53,98.35,16,7,8.88,clear sky
24,Lagoa,PT,39.05,-27.98,67.5,65,6,5.46,clear sky
25,Busselton,AU,-33.65,115.33,55.27,72,0,12.8,clear sky
26,Mataura,NZ,-46.19,168.86,45.91,61,58,1.07,broken clouds
27,Pacific Grove,US,36.62,-121.92,82.38,81,0,10.36,clear sky
28,Nome,US,64.50,-165.41,44.67,70,100,13.8,overcast clouds
29,Port Elizabeth,ZA,-33.92,25.57,65.1,90,75,8.05,broken clouds
30,Bluff,NZ,-46.60,168.33,46.54,50,57,5.3,broken clouds
31,Torbay,CA,47.67,-52.73,58.75,93,100,6.91,overcast clouds
32,Faya,SA,18.39,42.45,66.31,22,2,5.93,clear sky
33,Avarua,CK,-21.21,-159.78,75.25,73,75,11.5,broken clouds
34,Sorland,NO,67.67,12.69,49.86,71,100,5.28,overcast clouds
35,Iqaluit,CA,63.75,-68.51,31.73,93,100,15.01,light snow
36,Constitucion,CL,-35.33,-72.42,55.13,84,83,5.1,broken clouds
37,Kindersley,CA,51.47,-109.17,77.02,29,100,17.27,overcast clouds
38,Tiarei,PF,-17.53,-149.33,84.22,74,6,13.8,clear sky
